GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes
15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.2,"By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally",15.2.1,Progress towards sustainable forest management,1,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,2,Africa,2000.0,,14.95,Float,"FAO, Global Forest Resources Assessment",Aggregate. Only countries with data for all years included
15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.2,"By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally",15.2.1,Progress towards sustainable forest management,1,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,2,Africa,2005.0,,15.69,Float,"FAO, Global Forest Resources Assessment",Aggregate. Only countries with data for all years included
15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.2,"By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally",15.2.1,Progress towards sustainable forest management,1,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,2,Africa,2010.0,,16.33,Float,"FAO, Global Forest Resources Assessment",Aggregate. Only countries with data for all years included
15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.2,"By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally",15.2.1,Progress towards sustainable forest management,1,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,2,Africa,2015.0,,17.38,Float,"FAO, Global Forest Resources Assessment",Aggregate. Only countries with data for all years included
