series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_100_POP	Per 100 population		0	0	0.1	0.1	1.2	2.1	1.9	1.8	3.6	4	5	5.5	5.9	7	8.3	10.6	7.46	2016	10.6	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	8	20.06660928	41.13897007	ALB	Albania	1	PER_100_POP	Per 100 population	0.1	0.3	0.4	1	2.4	6	9.6	15	23.9	41.2	45	49	54.7	57.2	60.1	63.3	66.4	60.34	2016	66.4	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	12	2.678164227	28.15940032	DZA	Algeria	1	PER_100_POP	Per 100 population	0.5	0.6	1.6	2.2	4.6	5.8	7.4	9.5	10.2	11.2	12.5	14.9	18.2	22.5	29.5	38.2	42.9	30.26	2016	42.9	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	20	1.576257417	42.54548611	AND	Andorra	1	PER_100_POP	Per 100 population	10.5		11.3	13.5	26.8	37.6	48.9	70.9	70	78.5	81	81	86.4	94	95.9	96.9	97.9	94.22	2016	97.9	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	24	17.57817062	-12.33724746	AGO	Angola	1	PER_100_POP	Per 100 population	0.1	0.1	0.3	0.4	0.5	1.1	1.5	1.7	1.9	2.3	2.8	3.1	6.5	8.9	10.2	12.4	13	10.2	2016	13	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PER_100_POP	Per 100 population	6.5	8.9	12.5	17.2	24.3	27	30	34	38	42	47	52	58	63.4	67.8	70	73	66.44	2016	73	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PER_100_POP	Per 100 population	0.1	0.3	5			8	12	14.5	17.1	27.4	46	50	54.2	73	75	77	78.2	71.48	2016	78.2	State Statistical Committee of the Republic of Azerbaijan.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	32	-65.14563274	-35.19446255	ARG	Argentina	1	PER_100_POP	Per 100 population	7	9.8	10.9	11.9	16	17.7	20.9	25.9	28.1	34	45	51	55.8	59.9	64.7	68	71	63.88	2016	71	Instituto Nacional de Estadistica y Censos.	
