series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	1350	1350	1350	1350	2015	1350	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	769.3	782.4	776.3	771.5	2015	771.5	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	10	21.47585697	-80.40897662	ATA	Antarctica	1	HA_TH	Thousands of hectares								
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	12	2.678164227	28.15940032	DZA	Algeria	1	HA_TH	Thousands of hectares	1579	1536	1918	1956	2015	1956	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	HA_TH	Thousands of hectares	18.05	17.881	17.712	17.543	2015	17.543	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	20	1.576257417	42.54548611	AND	Andorra	1	HA_TH	Thousands of hectares	16	16	16	16	2015	16	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	24	17.57817062	-12.33724746	AGO	Angola	1	HA_TH	Thousands of hectares	59728	59104	58480	57856	2015	57856	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	HA_TH	Thousands of hectares	10	9.8	9.8	9.8	2015	9.8	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	HA_TH	Thousands of hectares	871.8	877.2	1008.3	1139.4	2015	1139.4	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	32	-65.14563274	-35.19446255	ARG	Argentina	1	HA_TH	Thousands of hectares	31860	30186	28596	27112	2015	27112	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	36	134.3499412	-25.57717202	AUS	Australia	1	HA_TH	Thousands of hectares	128841	127641	123211	124751	2015	124751	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	40	14.14172472	47.58704857	AUT	Austria	1	HA_TH	Thousands of hectares	3838	3851	3860	3869	2015	3869	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	44	-78.05111663	24.69546597	BHS	Bahamas	1	HA_TH	Thousands of hectares	515	515	515	515	2015	515	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	48	50.5490754	26.04407747	BHR	Bahrain	1	HA_TH	Thousands of hectares	0.371	0.448	0.526	0.604	2015	0.604	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	50	89.17660788	22.86961622	BGD	Bangladesh	1	HA_TH	Thousands of hectares	1468	1455	1442	1429	2015	1429	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	51	44.93839317	40.29499741	ARM	Armenia	1	HA_TH	Thousands of hectares	333	332	331	332	2015	332	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	52	-59.5346489	13.13648273	BRB	Barbados	1	HA_TH	Thousands of hectares	6.3	6.3	6.3	6.3	2015	6.3	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	56	4.660976456	50.64104975	BEL	Belgium	1	HA_TH	Thousands of hectares	667.3	674.2	681.2	683.4	2015	683.4	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	60	-64.78155012	32.27881922	BMU	Bermuda	1	HA_TH	Thousands of hectares	1	1	1	1	2015	1	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	64	90.45098484	27.39598568	BTN	Bhutan	1	HA_TH	Thousands of hectares	2606.002	2655.647	2705.291	2754.935	2015	2754.935	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	HA_TH	Thousands of hectares	60091	58734	56209	54764	2015	54764	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	HA_TH	Thousands of hectares	2185	2185	2185	2185	2015	2185	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	72	23.81380223	-22.18810073	BWA	Botswana	1	HA_TH	Thousands of hectares	12535	11943	11351	10840	2015	10840	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	HA_TH	Thousands of hectares								
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	76	-53.08432878	-10.77668561	BRA	Brazil	1	HA_TH	Thousands of hectares	521274	506734	498458	493538	2015	493538	Official country data submitted to FAO	C
