"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","2069400","6544508","24088011.32","3269912.99","1337307.95","18008549.57","16256604.75","65668331.52","3021751.93","55747.79",2015.0,"55747.79","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","2956560.92","1404179.89","1822981.4","181026.5","12556567.16","9164270.86","2932934.69","886.4","3173467","14484990",2015.0,"14484990","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","206951.16","262531","57770","6390944.9","","100416.64","180764.44","","3150","151407.561",2015.0,"151407.561","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","195924.65","692205.23","2527381.56","453520","277482.62","302477.79","168117.02","46743","","",2013.0,"46743","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","140534.87","584421.42","4536892","1136647","59948.13","309689.81","185645.43","272261","61458.82","3769583.16278",2015.0,"3769583.16278","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
"32","Argentina","ARG","-65.14563274","-35.19446255","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","348900.6","164324","68671.86","82536.78","19152.32","205840.46","71737.39","414209.55","","",2013.0,"414209.55","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments"
