"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","MP","Mid-point","G","Global","14.47584","14.47584","14.47586","17.72964","30.23081","42.21482","42.71216","44.14915","44.14915","44.14915","69.54922","69.54922","69.54922","78.62002","78.62002","78.62002","78.62002","78.62002","78.62002",2018.0,"78.62002","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"8","Albania","ALB","20.06660928","41.13897007","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","LB","Lower bound","G","Global","14.47584","14.47584","14.47586","17.72964","30.23081","42.21482","42.71216","44.14915","44.14915","44.14915","69.54922","69.54922","69.54922","78.62002","78.62002","78.62002","78.62002","78.62002","78.62002",2018.0,"78.62002","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"8","Albania","ALB","20.06660928","41.13897007","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","UB","Upper bound","G","Global","14.47584","14.47584","14.47586","17.72964","30.23081","42.21482","42.71216","44.14915","44.14915","44.14915","69.54922","69.54922","69.54922","78.62002","78.62002","78.62002","78.62002","78.62002","78.62002",2018.0,"78.62002","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"10","Antarctica","ATA","21.47585697","-80.40897662","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","LB","Lower bound","G","Global","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","5.10427","6.62405","8.70124","8.70124","8.70124","8.70124",2018.0,"8.70124","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"10","Antarctica","ATA","21.47585697","-80.40897662","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","MP","Mid-point","G","Global","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","7.13166","8.70124","8.70124","8.70124","8.70124",2018.0,"8.70124","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"10","Antarctica","ATA","21.47585697","-80.40897662","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","UB","Upper bound","G","Global","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","6.1195","7.13166","8.70124","8.70124","8.70124","8.70124",2018.0,"8.70124","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
"12","Algeria","DZA","2.678164227","28.15940032","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MPA","Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)","2019.Q1.G.01","PERCENT","Percentage","LB","Lower bound","G","Global","21.55821","21.55821","21.55821","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155","54.89155",2018.0,"54.89155","Country data","BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)"
