series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	8520	779	113	56	6964	40151	200	1470	4715	2028	960	33		1934	2016	33	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	245312		36728	16240	1680	10388	15368	47760	535424	25224144	25000	1521032	16172	5464354.4	2017	16172	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	0			9406	0	2197	0	0	0	9				4.5	2014	9	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	2697	19243	44850	3957	4798										2009	4798	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number													2511	2511	2017	2511	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number	40	40	96	64	148	108	44	24	60					60	2013	60	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number					28355	14	50042	150	5005	1234	62	106	124	1306.2	2017	124	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number	1340	6400	1040	15840	4376	4528	9448	8468	2856					2856	2013	2856	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number									0	0	0	0	779	155.8	2017	779	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number	0		8	4616	60	4412	0								2011	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	Number																		
