series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CU_USD_M	millions of current United States dollars	16.1986125	2.3044125	0.82665	1.269675	16.504875	71.6581125	2.141775	3.334125	8.0092125	4.22475	1.8396	0.070125		3.535921875	2016	0.070125	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CU_USD_M	millions of current United States dollars					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CU_USD_M	millions of current United States dollars	357.403		84.756	83.664	5.074	72.701	48.927	97.546	927.411	300.555	190.928	2452.189	39.956	782.2078	2017	39.956	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CU_USD_M	millions of current United States dollars	0			19.035	0.03435	4.11435	0.0333	0.1356	0.2007	0.2565				0.2286	2014	0.2565	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CU_USD_M	millions of current United States dollars													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CU_USD_M	millions of current United States dollars	8.8790625	42.606	114.83745	10.417275	38.460075										2009	38.460075	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	CU_USD_M	millions of current United States dollars													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	CU_USD_M	millions of current United States dollars													6.199875	6.199875	2017	6.199875	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	CU_USD_M	millions of current United States dollars	1.038525	0.863625	1.62	1.19295	1.3104375	1.5553125	1.1544375	0.64935	0.9781875					0.9781875	2013	0.9781875	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	CU_USD_M	millions of current United States dollars					49.15755	1.321275	71.628	0.18	5.916	1.902	0.07245	0.2415	0.6357	1.75353	2017	0.6357	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	CU_USD_M	millions of current United States dollars	14.9283	11.08485	10.4643	54.639	12.3903	11.85	39.06	27.4162875	4.413225					4.413225	2013	4.413225	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	CU_USD_M	millions of current United States dollars									0	0	0	0	1.0779107	0.21558214	2017	1.0779107	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	CU_USD_M	millions of current United States dollars	0		0.01275	7.89225	0.121125	10.4331375	0								2011	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	CU_USD_M	millions of current United States dollars																		
