series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Mode of transportation	Units	Mode of transportation description	Units description	2016	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	4	66.02688198	33.83160199	AFG	Afghanistan	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	4	66.02688198	33.83160199	AFG	Afghanistan	2	ROA	P_KM	road transport	passenger kilometres	5245161679.87	2016	5245161679.87	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	4	66.02688198	33.83160199	AFG	Afghanistan	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	8	20.06660928	41.13897007	ALB	Albania	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	8	20.06660928	41.13897007	ALB	Albania	2	ROA	P_KM	road transport	passenger kilometres	9652853005.68	2016	9652853005.68	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	8	20.06660928	41.13897007	ALB	Albania	3	RAI	P_KM	rail transport	passenger kilometres	7243003	2016	7243003	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	10	21.47585697	-80.40897662	ATA	Antarctica	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	10	21.47585697	-80.40897662	ATA	Antarctica	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	10	21.47585697	-80.40897662	ATA	Antarctica	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	2.678164227	28.15940032	DZA	Algeria	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	2.678164227	28.15940032	DZA	Algeria	2	ROA	P_KM	road transport	passenger kilometres	268473597213.03	2016	268473597213.03	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	2.678164227	28.15940032	DZA	Algeria	3	RAI	P_KM	rail transport	passenger kilometres	1158120169	2016	1158120169	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	-170.7187269	-14.30587306	ASM	American Samoa	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	-170.7187269	-14.30587306	ASM	American Samoa	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	20	1.576257417	42.54548611	AND	Andorra	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	20	1.576257417	42.54548611	AND	Andorra	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	20	1.576257417	42.54548611	AND	Andorra	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	24	17.57817062	-12.33724746	AGO	Angola	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	24	17.57817062	-12.33724746	AGO	Angola	2	ROA	P_KM	road transport	passenger kilometres	68891214902.15	2016	68891214902.15	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	24	17.57817062	-12.33724746	AGO	Angola	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ROA	P_KM	road transport	passenger kilometres	2845327323.56	2016	2845327323.56	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	31	50.01064725	40.39229544	AZE	Azerbaijan	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ROA	P_KM	road transport	passenger kilometres	47259238450.82	2016	47259238450.82	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	31	50.01064725	40.39229544	AZE	Azerbaijan	3	RAI	P_KM	rail transport	passenger kilometres	4.48e+08	2016	4.48e+08	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	32	-65.14563274	-35.19446255	ARG	Argentina	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	32	-65.14563274	-35.19446255	ARG	Argentina	2	ROA	P_KM	road transport	passenger kilometres	740884003742.19	2016	740884003742.19	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	32	-65.14563274	-35.19446255	ARG	Argentina	3	RAI	P_KM	rail transport	passenger kilometres	8246850757	2016	8246850757	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	36	134.3499412	-25.57717202	AUS	Australia	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	36	134.3499412	-25.57717202	AUS	Australia	2	ROA	P_KM	road transport	passenger kilometres	302436812171.13	2016	302436812171.13	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	36	134.3499412	-25.57717202	AUS	Australia	3	RAI	P_KM	rail transport	passenger kilometres	16005000087	2016	16005000087	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	40	14.14172472	47.58704857	AUT	Austria	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	40	14.14172472	47.58704857	AUT	Austria	2	ROA	P_KM	road transport	passenger kilometres	106939163360.02	2016	106939163360.02	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	40	14.14172472	47.58704857	AUT	Austria	3	RAI	P_KM	rail transport	passenger kilometres	1.2578e+10	2016	1.2578e+10	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	44	-78.05111663	24.69546597	BHS	Bahamas	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	44	-78.05111663	24.69546597	BHS	Bahamas	2	ROA	P_KM	road transport	passenger kilometres	19930611518.89	2016	19930611518.89	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	44	-78.05111663	24.69546597	BHS	Bahamas	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	48	50.5490754	26.04407747	BHR	Bahrain	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	48	50.5490754	26.04407747	BHR	Bahrain	2	ROA	P_KM	road transport	passenger kilometres	14893876999.3	2016	14893876999.3	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	48	50.5490754	26.04407747	BHR	Bahrain	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	50	89.17660788	22.86961622	BGD	Bangladesh	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	50	89.17660788	22.86961622	BGD	Bangladesh	2	ROA	P_KM	road transport	passenger kilometres	58354669754.14	2016	58354669754.14	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	50	89.17660788	22.86961622	BGD	Bangladesh	3	RAI	P_KM	rail transport	passenger kilometres	8077424033	2016	8077424033	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	51	44.93839317	40.29499741	ARM	Armenia	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	51	44.93839317	40.29499741	ARM	Armenia	2	ROA	P_KM	road transport	passenger kilometres	3175257622.72	2016	3175257622.72	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	51	44.93839317	40.29499741	ARM	Armenia	3	RAI	P_KM	rail transport	passenger kilometres	44650475	2016	44650475	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	52	-59.5346489	13.13648273	BRB	Barbados	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	52	-59.5346489	13.13648273	BRB	Barbados	2	ROA	P_KM	road transport	passenger kilometres	9004439004.4	2016	9004439004.4	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	52	-59.5346489	13.13648273	BRB	Barbados	3	RAI	P_KM	rail transport	passenger kilometres					
