series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Name of international institution	Units description	Name of international institution description	2000	2005	2010	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	IBRD	Percentage	international bank for reconstruction and development	0.54945054945055	0.543478260869565	0.53475935828877		0.5319149	0.5319149	0.5291	0.5309766	2017	0.5291	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	IMF	Percentage	international monetary fund	0	0.552486187845304	0.54945054945055		0.531914893617021	0.531914893617021	0.5291	0.530976595744681	2017	0.5291	IMF Annual Report 2017	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	UNGA	Percentage	UN general assembly	0.529100529100529	0.523560209424084	0.520833333333333		0.518134715025907	0.518134715025907	0.518134715025907	0.518134715025907	2017	0.518134715025907	UN General Assembly website http://www.un.org/en/member-states/index.html	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	PERCENT	IFC	Percentage	international finance corporation	0.574712643678161	0.561797752808989	0.54945054945055		0.543478260869565	0.543478260869565	0.543478260869565	0.543478260869565	2017	0.543478260869565	IFC 2017 Annual Report Volume 2	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	PERCENT	ADB	Percentage	asian development bank	1.69491525423729	1.5625	1.49253731343284		1.49253731343284	1.493		1.49276865671642	2016	1.493	Asian Development Bank Annual Report 2016	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	PERCENT	ECOSOC	Percentage	UN economic and social council						1.85185185185185	1.85185185185185	1.85185185185185	2017	1.85185185185185	Report of the Economic and Social Council on its 2017 Session (A/72/3)	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	PERCENT	WTO	Percentage	world trade organisation							0.60976	0.60976	2017	0.60976	WTO Annual Report 2017	G
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	PERCENT	AFDB	Percentage	african development bank												
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	PERCENT	UNSC	Percentage	UN security coUNcil												
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	10	PERCENT	IABD	Percentage	inter-american development bank												
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	4	66.02688198	33.83160199	AFG	Afghanistan	11	PERCENT	FSB	Percentage	financial stability board												
2018.Q2.G.01	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	IBRD	Percentage	international bank for reconstruction and development	0.54945054945055	0.543478260869565	0.53475935828877		0.5319149	0.5319149	0.5291	0.5309766	2017	0.5291	International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017	G
