"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Value_2018.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","69.05488","68.86396","69.03685","71.37487","69.80018","70.22934","69.69824","68.31645","67.83804","67.5315","62.18206","60.63043","61.7468","62.74566","61.59122","62.19479","62.01694","62.12003","75.50125","74.29496","72.94782","71.99036","71.35664","68.53739","67.20751","66.64778","65.89441","65.56551","66.56412",2018.0,"66.56412","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"2","Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","96.55172","100","96.15385","97.01493","94.73684","94.73684","94.73684","94.73684","94.73684","95.18072","95.2381","95.34884","95.45455","98.0198","97.16981","98.13084","98.13084","98.13084","98.14324","97.8836","96.57895","96.32546","95.3125","95.06494","95.06494","94.31525","94.31525","94.07216","94.3734",2018.0,"94.3734","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"9","Oceania","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100","100","90.47619","93.93939","95","95.2381","95.2381","95.2381","93.02326","88.88889","89.58333","89.58333","90.74074","94.54545","94.91525","91.52542","91.52542","91.52542","97.04433","96.09756","96.09756","96.09756","96.09756","96.09756","96.09756","96.09756","96.09756","96.09756","96.09756",2018.0,"96.09756","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","83.33333","85.71429","90","89.47368","91.30435","91.30435","92","92","92","90.19608","90.56604","92.59259","92.59259","92.85714","91.07143","79.36508","78.46154","78.46154","92.1466","92.1466","92.1466","92.1466","91.66667","91.66667","91.66667","91.66667","89.79592","89.79592","89.84772",2018.0,"89.84772","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"13","Central America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100","100","100","100","100","100","100","100","100","100","90","90","93.75","93.75","93.75","93.75","93.75","93.75","99.0099","99.0099","94.33962","94.33962","94.33962","94.33962","94.33962","94.33962","92.59259","92.59259","93.51852",2018.0,"93.51852","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"14","Eastern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","72.41379","74.19355","79.48718","79.06977","76.59574","76.59574","76.59574","76.59574","77.08333","83.87097","76.92308","81.42857","81.69014","83.33333","83.33333","87.67123","87.67123","88.75","88.23529","87.88927","86.94158","86.94158","87.28522","85.9589","85.9589","85.9589","85.9589","85.9589","86.64384",2018.0,"86.64384","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"15","Northern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100","97.2973","97.61905","98.64865","98.80952","98.80952","98.80952","98.82353","98.82353","98.82353","98.82353","98.82353","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.46524","99.46524",2018.0,"99.46524","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"17","Middle Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",2018.0,"100","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
"18","Southern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","1","ER_UNK_LBRED","Proportion of local breeds classified as being at unknown level of risk of extinction (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0","0","81.81818","90","84.61538","85.18519","85.18519","86.66667","87.87879","89.13043","89.13043","89.13043","89.13043","89.79592","89.79592","94","94","94","98.05825","98.05825","100","93.39623","91.58879","91.58879","74.80916","74.80916","74.24242","74.24242","74.24242",2018.0,"74.24242","Country data","DAD-IS 2018 http://www.fao.org/dad-is/","Observation value corresponds to the date/year when risk status was calculated based on most up to date information available. "
