"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","1.69","1.83","1.36","1.34","1.14","1.27","1.41","1.46","2.15","2.62","2.94","3.76","2.98","2.52","2.32","2.46",2015.0,"2.46","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"8","Albania","ALB","20.06660928","41.13897007","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","4.44","4.20","4.44","4.10","4.27","4.04","3.74","3.37","3.25","3.22","3.08","3.14","2.78","3.19","3.16","2.89",2015.0,"2.89","Estimated data","Source: World Energy Balances, IEA (2017)"
"10","Antarctica","ATA","21.47585697","-80.40897662","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.55","3.45","3.50","3.47","3.37","3.31","3.48","3.58","3.54","3.80","3.61","3.66","3.89","3.92","4.10","4.13",2015.0,"4.13","Estimated data","Source: World Energy Balances, IEA (2017)"
"16","American Samoa","ASM","-170.7187269","-14.30587306","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","5.22","5.23","5.88","6.03","5.59","4.57","4.15","3.61","3.44","3.65","3.70","3.70","3.86","3.62","3.65","3.61",2015.0,"3.61","Estimated data","Source: World Energy Balances, IEA (2017)"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.22","3.42","3.61","3.67","3.62","3.48","3.21","3.09","3.16","3.79","4.15","4.15","4.10","4.11","3.96","3.89",2015.0,"3.89","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"31","Azerbaijan","AZE","50.01064725","40.39229544","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","13.18","12.15","11.09","10.49","10.01","8.32","6.10","4.46","4.43","3.63","3.36","3.64","3.88","3.72","3.76","3.73",2015.0,"3.73","Estimated data","Source: World Energy Balances, IEA (2017)"
"32","Argentina","ARG","-65.14563274","-35.19446255","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","4.67","4.64","5.07","4.98","4.99","4.61","4.64","4.32","4.37","4.51","4.27","4.12","4.18","4.19","4.34","4.34",2015.0,"4.34","Estimated data","Source: World Energy Balances, IEA (2017)"
