series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	8	20.06660928	41.13897007	ALB	Albania	1	PER_1000000_POP	Per million population									156.1011										2008	156.1011	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	12	2.678164227	28.15940032	DZA	Algeria	1	PER_1000000_POP	Per million population						168.0163													2005	168.0163	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PER_1000000_POP	Per million population			85	406	152	101													2005	101	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	20	1.576257417	42.54548611	AND	Andorra	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	24	17.57817062	-12.33724746	AGO	Angola	1	PER_1000000_POP	Per million population												47.48423							2011	47.48423	African Science, Technology and Innovation Indicators (ASTII) Initiative of the African Union/NEPAD Planning and Coordinating Agency (AU/NPCA): African Innovation Outlook series	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PER_1000000_POP	Per million population	712.94702	684.68019	688.39888	714.36814	760.9603	814.09127	885.76803	967.74539											2007	967.74539	Latin American Network on Science and Technology Indicators (RICYT)	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	36	134.3499412	-25.57717202	AUS	Australia	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	40	14.14172472	47.58704857	AUT	Austria	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	48	50.5490754	26.04407747	BHR	Bahrain	1	PER_1000000_POP	Per million population															368.90235			368.90235	2014	368.90235	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	51	44.93839317	40.29499741	ARM	Armenia	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	52	-59.5346489	13.13648273	BRB	Barbados	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	56	4.660976456	50.64104975	BEL	Belgium	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	64	90.45098484	27.39598568	BTN	Bhutan	1	PER_1000000_POP	Per million population																						
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PER_1000000_POP	Per million population	71.94666	123.58212	120.18474							145.71541	165.95431								2010	165.95431	Latin American Network on Science and Technology Indicators (RICYT)	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PER_1000000_POP	Per million population				61.31592	63.14094	66.85469	177.57076	197.44833					158.24242	229.81976	285.5018	354.21771	404.39989	286.436316	2016	404.39989	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
2018.Q2.G.01	GB_POP_SCIERD	Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)	72	23.81380223	-22.18810073	BWA	Botswana	1	PER_1000000_POP	Per million population													168.33268	179.46852				173.9006	2013	179.46852	UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	C
