"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","2732906.636","2734226.364","2736423.531","2738631.696","2737297.472","2734633.24","2731551.833","2731570.953","2725331.831","2726238.006","2727156.848","2727520.545",2016.0,"2727520.545"
"BGR","25.23763153","42.75731323","100","Bulgaria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","1010.2149","1021.0406","1031.39203","1032.92174","1037.33728","1035.83183","1034.76573","1027.56949","1027.08541","1030.514","1034.2587","1028.14773",2016.0,"1028.14773"
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","5889.72266","6024.54775","6113.67033","6266.68638","6431.02721","6499.47679","6461.94438","6543.59423","6525.15743","6438.12431","6499.62398","6533.37795",2016.0,"6533.37795"
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","1954.05678","1953.70817","1952.97311","1952.66966","1952.29924","1951.92588","1951.86838","1952.20479","1952.76011","1953.39959","1954.34725","1955.15245",2016.0,"1955.15245"
"","","","11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","16771.41245","16731.16432","16641.65097","16605.17072","16748.99538","16845.86048","16935.3023","17171.80686","17425.4291","17627.62386","17656.23618","17524.94329",2016.0,"17524.94329"
"BLR","28.04940161","53.54193075","112","Belarus","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","1781.43363","1784.34565","1799.5848","1803.60254","1804.44929","1805.40984","1802.12645","1799.24898","1798.41891","1804.46691","1807.53778","1804.60054",2016.0,"1804.60054"
"KHM","104.922836","12.71163737","116","Cambodia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","3607.11951","3542.77789","3530.2639","3534.6508","3542.83345","3578.78533","3613.5557","3625.22887","3640.3376","3597.44372","3595.06552","3431.13664",2016.0,"3431.13664"
"DZA","2.678164227","28.15940032","12","Algeria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","224.94142","237.08592","249.64931","267.94172","276.54373","331.13521","383.17851","408.83305","427.96652","450.10188","416.29154","421.7699",2016.0,"421.7699"
"CMR","12.7419827","5.692387031","120","Cameroon","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","1898.07704","1907.26119","1915.34363","1923.44912","1929.55241","1930.61951","1922.72456","1923.77587","1915.06423","1910.96265","1890.27334","1875.93757",2016.0,"1875.93757"
"CAN","-101.6575058","57.72360191","124","Canada","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","G","Global","KMSQ","Square kilometers","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","Global Surface Water Explorer extraction for UN Environment","","","","","","","","","","","","","694492.5709","695683.7866","696604.1777","696948.4923","697313.2899","697189.9394","696434.2899","696770.3598","695062.9186","695715.4736","696610.7321","698030.27",2016.0,"698030.27"
