series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	1	KMSQ	Square kilometers	895.30249	763.25063	695.18517	713.64785	683.20475	673.46374	643.7692	647.67338	590.11011	598.87799	606.05893	580.45887	604.635856	2016	580.45887	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	8	20.06660928	41.13897007	ALB	Albania	1	KMSQ	Square kilometers	505.24116	507.19926	509.44707	507.08372	505.58347	504.98233	504.88916	504.50799	508.92932	514.95317	518.23288	518.50051	513.024774	2016	518.50051	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	1	KMSQ	Square kilometers																	
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	12	2.678164227	28.15940032	DZA	Algeria	1	KMSQ	Square kilometers	224.94142	237.08592	249.64931	267.94172	276.54373	331.13521	383.17851	408.83305	427.96652	450.10188	416.29154	421.7699	424.992578	2016	421.7699	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	KMSQ	Square kilometers	0.69752	0.68834	0.68589	0.69125	0.68799	0.70045	0.71555	0.70258	0.68461	0.67261	0.67648	0.68015	0.683286	2016	0.68015	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	20	1.576257417	42.54548611	AND	Andorra	1	KMSQ	Square kilometers	0.63712	0.63621	0.62661	0.6295	0.62804	0.64185	0.64631	0.65511	0.64255	0.62632	0.61897	0.61554	0.631698	2016	0.61554	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	24	17.57817062	-12.33724746	AGO	Angola	1	KMSQ	Square kilometers	879.65894	892.88863	910.26579	924.28285	927.97467	929.13104	937.98437	943.87648	942.44222	933.72671	929.39853	913.35404	932.559596	2016	913.35404	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	KMSQ	Square kilometers	34.12484	34.23637	34.37404	34.43471	34.49146	34.43529	34.38696	34.30703	34.26824	33.99871	33.81094	33.52537	33.982058	2016	33.52537	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	KMSQ	Square kilometers	72192.99067	72219.98411	72244.45545	72250.36764	72243.11306	72230.46917	72209.73169	72191.83225	72168.24771	72137.59069	72091.16936	72059.037	72129.575402	2016	72059.037	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	1	KMSQ	Square kilometers	33790.73604	33959.14285	33373.81153	32498.1661	31394.78469	30197.9041	29474.34359	28751.54613	27982.35125	27488.37881	27611.45581	27897.89006	27946.324412	2016	27897.89006	Global Surface Water Explorer extraction for UN Environment	C
