series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Mode of transportation	Units	Mode of transportation description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	4	66.02688198	33.83160199	AFG	Afghanistan	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	275	35.25694122	31.94347933	PSE	State of Palestine	1	AIR	P_KM	air transport	passenger kilometres	2016					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	18.66618401	15.36279341	TCD	Chad	1	AIR	P_KM	air transport	passenger kilometres	2016					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	8	20.06660928	41.13897007	ALB	Albania	1	AIR	P_KM	air transport	passenger kilometres	2016					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	276	10.3806066	51.08862743	DEU	Germany	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	-71.23029019	-35.2652885	CHL	Chile	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	10	21.47585697	-80.40897662	ATA	Antarctica	1	AIR	P_KM	air transport	passenger kilometres	2016					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	288	-1.205623522	7.964825185	GHA	Ghana	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	104.1403375	32.30955217	CHN	China	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	2.678164227	28.15940032	DZA	Algeria	1	AIR	P_KM	air transport	passenger kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	292	-5.347561686	36.13895036	GIB	Gibraltar	1	AIR	P_KM	air transport	passenger kilometres	2016					
