series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	0.007081	0.00042	0.000469	0.000264	0.001739	0.039949	0.000971	0.001016	0.003238	0.00032	0.000252	6e-06		0.000954	2016	6e-06	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	0.012671		0.001425	0.000994	7.7e-05	0.000886	0.000472	0.000856	0.007802	0.002588	0.001862	0.02576	0.00042	0.0076864	2017	0.00042	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	0			0.022371	2.8e-05	0.743906	2e-04	0.000221	0.000168	0.000271				0.0002195	2014	0.000271	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	0.006104	0.002722	0.00833	0.000933	0.001965										2009	0.001965	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage																		
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage													0.00126	0.00126	2017	0.00126	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	0.000266	0.000203	0.000611	0.000268	0.000336	0.000432	0.000288	0.000139	0.000212					0.000212	2013	0.000212	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage																		
