"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","887.69532","755.24966","687.54735","706.40686","681.35802","671.97246","642.36278","646.41","588.47048","597.28521","604.71016","579.44444",2016.0,"579.44444","Country data","Global Surface Water Explorer extraction for UN Environment"
"8","Albania","ALB","20.06660928","41.13897007","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","505.19939","507.12844","509.3816","507.02465","505.52278","504.92878","504.88179","504.50267","508.92347","514.94907","518.23221","518.49997",2016.0,"518.49997","Country data","Global Surface Water Explorer extraction for UN Environment"
"10","Antarctica","ATA","21.47585697","-80.40897662","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","224.91037","237.03843","249.57735","267.87531","276.46575","331.0749","383.1408","408.82088","427.94956","450.0968","416.28646","421.76511",2016.0,"421.76511","Country data","Global Surface Water Explorer extraction for UN Environment"
"16","American Samoa","ASM","-170.7187269","-14.30587306","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","0.68902","0.67879","0.67424","0.61682","0.59117","0.54643","0.5441","0.5334","0.58195","0.59287","0.65449","0.67679",2016.0,"0.67679","Country data","Global Surface Water Explorer extraction for UN Environment"
"20","Andorra","AND","1.576257417","42.54548611","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","0.61988","0.61924","0.60864","0.61245","0.61019","0.63788","0.64379","0.65405","0.64109","0.62566","0.61844","0.61514",2016.0,"0.61514","Country data","Global Surface Water Explorer extraction for UN Environment"
"24","Angola","AGO","17.57817062","-12.33724746","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","871.23912","879.27781","895.01931","907.71698","908.78643","910.28201","922.15362","919.88874","915.52112","912.13886","911.11803","897.76571",2016.0,"897.76571","Country data","Global Surface Water Explorer extraction for UN Environment"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","34.11038","34.21837","34.36096","34.42251","34.47758","34.41901","34.35584","34.27591","34.2451","33.97768","33.79235","33.52453",2016.0,"33.52453","Country data","Global Surface Water Explorer extraction for UN Environment"
"31","Azerbaijan","AZE","50.01064725","40.39229544","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","67666.78764","67501.34112","68039.53331","68423.29239","69098.13116","69146.1023","69291.24584","69180.33542","69170.53994","69663.01668","70290.70954","70817.13705",2016.0,"70817.13705","Country data","Global Surface Water Explorer extraction for UN Environment"
"32","Argentina","ARG","-65.14563274","-35.19446255","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","33750.23342","33926.14241","33339.76568","32458.57415","31366.35571","30164.07953","29433.99626","28699.98904","27926.56524","27433.32464","27563.01362","27848.65713",2016.0,"27848.65713","Country data","Global Surface Water Explorer extraction for UN Environment"
"36","Australia","AUS","134.3499412","-25.57717202","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","13573.49061","13046.90538","12431.71381","12228.55478","12303.25523","12166.50665","12260.72379","13192.07075","14023.84221","14304.19282","14527.95987","14505.3628",2016.0,"14505.3628","Country data","Global Surface Water Explorer extraction for UN Environment"
"40","Austria","AUT","14.14172472","47.58704857","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","629.341","630.63928","631.76349","630.15536","628.56143","628.49887","628.95534","627.75951","628.54227","632.70302","633.50546","633.21074",2016.0,"633.21074","Country data","Global Surface Water Explorer extraction for UN Environment"
"44","Bahamas","BHS","-78.05111663","24.69546597","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","992.05397","995.21383","1002.85941","1008.26501","997.64613","998.72885","999.41603","993.77379","1011.62514","1018.25936","1045.26012","1072.4225",2016.0,"1072.4225","Country data","Global Surface Water Explorer extraction for UN Environment"
"48","Bahrain","BHR","50.5490754","26.04407747","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","54.95642","54.6381","54.93601","55.40455","54.27772","53.53308","52.95059","52.7877","52.05227","51.93473","52.16977","52.38235",2016.0,"52.38235","Country data","Global Surface Water Explorer extraction for UN Environment"
"50","Bangladesh","BGD","89.17660788","22.86961622","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","4523.7276","4566.506","4573.90148","4634.61651","4681.15383","4632.55055","4651.77323","4694.42825","4668.89358","4646.64516","4698.28112","4681.33294",2016.0,"4681.33294","Country data","Global Surface Water Explorer extraction for UN Environment"
"51","Armenia","ARM","44.93839317","40.29499741","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","1308.42771","1313.77092","1318.80721","1322.67525","1324.21919","1326.49042","1328.58264","1331.62158","1331.43602","1333.30298","1332.7515","1333.44965",2016.0,"1333.44965","Country data","Global Surface Water Explorer extraction for UN Environment"
"52","Barbados","BRB","-59.5346489","13.13648273","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","0.22547","0.21933","0.22659","0.22907","0.23196","0.23026","0.23248","0.22342","0.22857","0.21281","0.19599","0.1875",2016.0,"0.1875","Country data","Global Surface Water Explorer extraction for UN Environment"
"56","Belgium","BEL","4.660976456","50.64104975","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","153.79968","153.1505","154.27477","152.93353","152.67322","151.48647","153.00609","153.44896","154.37827","155.67296","157.26763","157.50829",2016.0,"157.50829","Country data","Global Surface Water Explorer extraction for UN Environment"
"60","Bermuda","BMU","-64.78155012","32.27881922","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","26.71006","26.70365","26.68361","26.61348","26.59161","26.58111","26.59816","26.62624","26.68713","26.69706","26.71","26.70611",2016.0,"26.70611","Country data","Global Surface Water Explorer extraction for UN Environment"
"64","Bhutan","BTN","90.45098484","27.39598568","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","64.93772","70.94498","73.86495","73.94716","74.11156","73.76968","73.88699","74.03186","74.98595","75.25704","75.64224","73.34402",2016.0,"73.34402","Country data","Global Surface Water Explorer extraction for UN Environment"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","12197.44907","12471.46738","12159.11937","11825.47943","11924.15638","11631.4628","11029.68678","10714.59588","11219.81271","11191.25979","11309.46774","11693.76658",2016.0,"11693.76658","Country data","Global Surface Water Explorer extraction for UN Environment"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","196.7229","199.19052","198.60129","195.96702","196.72795","195.95445","194.35294","192.70329","191.52722","194.15297","196.92937","197.81335",2016.0,"197.81335","Country data","Global Surface Water Explorer extraction for UN Environment"
"72","Botswana","BWA","23.81380223","-22.18810073","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","146.40147","111.06635","129.23501","130.49103","158.68243","151.84795","161.37649","147.22902","199.32025","246.67446","326.38068","383.65086",2016.0,"383.65086","Country data","Global Surface Water Explorer extraction for UN Environment"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","101995.6158","102718.7079","103944.9946","104712.7151","105274.0675","105593.4902","105666.4308","106051.7387","105793.141","105743.8027","105120.4814","104804.2107",2016.0,"104804.2107","Country data","Global Surface Water Explorer extraction for UN Environment"
"84","Belize","BLZ","-88.70199554","17.19965901","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","278.60748","278.40356","280.80402","282.84931","283.95199","282.73844","287.14028","285.01367","284.53835","280.93969","282.94512","281.47659",2016.0,"281.47659","Country data","Global Surface Water Explorer extraction for UN Environment"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","265.54482","266.97802","266.50422","260.88867","264.84342","270.39918","269.99538","273.28767","277.84629","280.6328","289.53019","298.62019",2016.0,"298.62019","Country data","Global Surface Water Explorer extraction for UN Environment"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","5.45685","5.53282","5.42761","5.3605","5.28643","5.27785","5.36455","5.44585","5.44482","5.39541","5.47329","5.48228",2016.0,"5.48228","Country data","Global Surface Water Explorer extraction for UN Environment"
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","62.20627","61.89574","62.07559","62.41349","62.11602","62.16716","62.70001","62.85046","62.81532","62.76921","62.7583","62.25686",2016.0,"62.25686","Country data","Global Surface Water Explorer extraction for UN Environment"
"100","Bulgaria","BGR","25.23763153","42.75731323","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","1009.99853","1020.79992","1031.1946","1032.84625","1037.25842","1035.7757","1034.75446","1027.55887","1027.03925","1030.47568","1034.22091","1028.1105",2016.0,"1028.1105","Country data","Global Surface Water Explorer extraction for UN Environment"
