series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			0.3	0.46	0.33	0.3	0.64	1.41	1.23	2.88	3.42	1.916	2016	3.42	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage		4.3	2.18	3.18	6.64	1.97	4.36	13.75	8.36	4.33	4.09	4.1	6.47	5.01	4.74	4.44	4.38	3.66	3.15	4.83	6.83	7.56	7.91	5.41	6.73	18.59	8.55	9.438	2016	8.55	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	63.76	70.91														11.38	22.11	1.13	1.19	0.88	0.6	0.59	0.85	0.42	0.35	0.47	0.46	0.51	2016	0.46	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	7.06	9.23	4.79	2.93	6.42	10.77	17.52	18.35	40.2	26.21	20.62	32.79	16.74	15.25	13.57	10.52	12.97	9.64	2.44	8.48	4.44	4.18	5.83	6.99	10.43	15.58	26.42	13.05	2016	26.42	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage						1.24	1.15	6.6	2.03	4.67	5.55	5.01	4.56	5.36	3.27	1.58	1.03	0.8	0.78	1.24	1.15	0.92	0.93	2.06	1.77	2.97	4.45	2.436	2016	4.45	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	34.89	31.02	24.25	26.69	18.5	20.5	23.41	27.65	28.16	37.5	40.29	31.81	15.6	34.96	19.9	14.21	23.08	6.91	6.74	10.92	10.42	7.76	6.01	7.75	11.62	15.8	23.56	12.948	2016	23.56	World Development Indicators, World Bank	
