series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2015	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	65286	2015	65286	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	2740	2015	2740	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	10	21.47585697	-80.40897662	ATA	Antarctica	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	12	2.678164227	28.15940032	DZA	Algeria	1	HA_TH	Thousands of hectares	238174	2015	238174	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	HA_TH	Thousands of hectares	20	2015	20	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	20	1.576257417	42.54548611	AND	Andorra	1	HA_TH	Thousands of hectares	47	2015	47	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	24	17.57817062	-12.33724746	AGO	Angola	1	HA_TH	Thousands of hectares	124670	2015	124670	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	HA_TH	Thousands of hectares	44	2015	44	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	HA_TH	Thousands of hectares	8266.3	2015	8266.3	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	32	-65.14563274	-35.19446255	ARG	Argentina	1	HA_TH	Thousands of hectares	273669	2015	273669	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	36	134.3499412	-25.57717202	AUS	Australia	1	HA_TH	Thousands of hectares	768230	2015	768230	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	40	14.14172472	47.58704857	AUT	Austria	1	HA_TH	Thousands of hectares	8252.3	2015	8252.3	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	44	-78.05111663	24.69546597	BHS	Bahamas	1	HA_TH	Thousands of hectares	1001	2015	1001	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	48	50.5490754	26.04407747	BHR	Bahrain	1	HA_TH	Thousands of hectares	77.1	2015	77.1	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	50	89.17660788	22.86961622	BGD	Bangladesh	1	HA_TH	Thousands of hectares	13017	2015	13017	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	51	44.93839317	40.29499741	ARM	Armenia	1	HA_TH	Thousands of hectares	2847	2015	2847	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	52	-59.5346489	13.13648273	BRB	Barbados	1	HA_TH	Thousands of hectares	43	2015	43	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	56	4.660976456	50.64104975	BEL	Belgium	1	HA_TH	Thousands of hectares	3028	2015	3028	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	60	-64.78155012	32.27881922	BMU	Bermuda	1	HA_TH	Thousands of hectares	5	2015	5	FAOSTAT	E
