series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2015	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	64	90.45098484	27.39598568	BTN	Bhutan	1	HA_TH	Thousands of hectares	3811.7	2015	3811.7	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	HA_TH	Thousands of hectares	108330	2015	108330	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	HA_TH	Thousands of hectares	5120	2015	5120	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	72	23.81380223	-22.18810073	BWA	Botswana	1	HA_TH	Thousands of hectares	56673	2015	56673	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	76	-53.08432878	-10.77668561	BRA	Brazil	1	HA_TH	Thousands of hectares	835814	2015	835814	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	84	-88.70199554	17.19965901	BLZ	Belize	1	HA_TH	Thousands of hectares	2281	2015	2281	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	HA_TH	Thousands of hectares	2799	2015	2799	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	HA_TH	Thousands of hectares	15	2015	15	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	HA_TH	Thousands of hectares	527	2015	527	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	100	25.23763153	42.75731323	BGR	Bulgaria	1	HA_TH	Thousands of hectares	10856	2015	10856	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	104	96.51752295	21.19332882	MMR	Myanmar	1	HA_TH	Thousands of hectares	65308	2015	65308	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	108	29.89080992	-3.366387428	BDI	Burundi	1	HA_TH	Thousands of hectares	2568	2015	2568	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	112	28.04940161	53.54193075	BLR	Belarus	1	HA_TH	Thousands of hectares	20291	2015	20291	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	116	104.922836	12.71163737	KHM	Cambodia	1	HA_TH	Thousands of hectares	17652	2015	17652	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	120	12.7419827	5.692387031	CMR	Cameroon	1	HA_TH	Thousands of hectares	47271	2015	47271	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	124	-101.6575058	57.72360191	CAN	Canada	1	HA_TH	Thousands of hectares	909351	2015	909351	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	HA_TH	Thousands of hectares	403	2015	403	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	HA_TH	Thousands of hectares	24	2015	24	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	140	20.93559492	7.003720791	CAF	Central African Republic	1	HA_TH	Thousands of hectares	62298	2015	62298	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	HA_TH	Thousands of hectares	6271	2015	6271	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	148	18.66618401	15.36279341	TCD	Chad	1	HA_TH	Thousands of hectares	125920	2015	125920	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	152	-71.23029019	-35.2652885	CHL	Chile	1	HA_TH	Thousands of hectares	74353.2	2015	74353.2	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	156	104.1403375	32.30955217	CHN	China	1	HA_TH	Thousands of hectares	942470.14	2015	942470.14	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	170	-73.07446751	3.888209046	COL	Colombia	1	HA_TH	Thousands of hectares	110950	2015	110950	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	174	43.34234565	-11.66121732	COM	Comoros	1	HA_TH	Thousands of hectares	186.1	2015	186.1	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	175	45.14015057	-12.82217691	MYT	Mayotte	1	HA_TH	Thousands of hectares	37.4	2015	37.4	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	178	15.22052612	-0.840544119	COG	Congo	1	HA_TH	Thousands of hectares	34150	2015	34150	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	HA_TH	Thousands of hectares	226705	2015	226705	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	HA_TH	Thousands of hectares	24	2015	24	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	HA_TH	Thousands of hectares	5106	2015	5106	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	191	17.95874553	45.45172212	HRV	Croatia	1	HA_TH	Thousands of hectares	5596	2015	5596	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	192	-79.54460144	22.10030366	CUB	Cuba	1	HA_TH	Thousands of hectares	10402	2015	10402	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	196	33.22285964	35.05659437	CYP	Cyprus	1	HA_TH	Thousands of hectares	924	2015	924	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	203	15.33151382	49.73913871	CZE	Czechia	1	HA_TH	Thousands of hectares	7722	2015	7722	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	204	2.339933594	9.65401646	BEN	Benin	1	HA_TH	Thousands of hectares	11276	2015	11276	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	208	9.326571283	56.03829721	DNK	Denmark	1	HA_TH	Thousands of hectares	4199	2015	4199	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	212	-61.3493756	15.43391378	DMA	Dominica	1	HA_TH	Thousands of hectares	75	2015	75	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	HA_TH	Thousands of hectares	4831	2015	4831	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	HA_TH	Thousands of hectares	24836	2015	24836	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	222	-88.86862995	13.73603564	SLV	El Salvador	1	HA_TH	Thousands of hectares	2072	2015	2072	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	HA_TH	Thousands of hectares	2805	2015	2805	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	231	39.63505296	8.631223181	ETH	Ethiopia	1	HA_TH	Thousands of hectares	1e+05	2015	1e+05	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	232	38.11074289	16.12894644	ERI	Eritrea	1	HA_TH	Thousands of hectares	10100	2015	10100	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	233	25.84093481	58.68487172	EST	Estonia	1	HA_TH	Thousands of hectares	4239	2015	4239	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	HA_TH	Thousands of hectares	139.6	2015	139.6	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	HA_TH	Thousands of hectares	1217	2015	1217	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	242	177.9660884	-17.83301566	FJI	Fiji	1	HA_TH	Thousands of hectares	1827	2015	1827	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	246	23.308447	61.91586738	FIN	Finland	1	HA_TH	Thousands of hectares	30391	2015	30391	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	248	19.80945969	60.1544901	ALA	Åland Islands	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	250	2.457288129	46.62660861	FRA	France	1	HA_TH	Thousands of hectares	54755.5	2015	54755.5	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	254	-53.23619089	3.922673437	GUF	French Guiana	1	HA_TH	Thousands of hectares	8220	2015	8220	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	HA_TH	Thousands of hectares	366	2015	366	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	262	42.18274707	11.56004161	DJI	Djibouti	1	HA_TH	Thousands of hectares	2318	2015	2318	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	266	11.78727747	-0.60687619	GAB	Gabon	1	HA_TH	Thousands of hectares	25767	2015	25767	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	268	43.3713615	42.04813028	GEO	Georgia	1	HA_TH	Thousands of hectares	6949	2015	6949	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	270	-15.39944785	13.45295927	GMB	Gambia	1	HA_TH	Thousands of hectares	1012	2015	1012	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	275	35.25694122	31.94347933	PSE	State of Palestine	1	HA_TH	Thousands of hectares	602	2015	602	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	276	10.3806066	51.08862743	DEU	Germany	1	HA_TH	Thousands of hectares	34885.9	2015	34885.9	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	288	-1.205623522	7.964825185	GHA	Ghana	1	HA_TH	Thousands of hectares	22754	2015	22754	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	HA_TH	Thousands of hectares	1	2015	1	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	296	-157.5643005	1.768837732	KIR	Kiribati	1	HA_TH	Thousands of hectares	81	2015	81	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	300	22.58307827	39.47301873	GRC	Greece	1	HA_TH	Thousands of hectares	12890	2015	12890	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	304	-41.39371316	74.75625681	GRL	Greenland	1	HA_TH	Thousands of hectares	41045	2015	41045	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	308	-61.68248568	12.11238395	GRD	Grenada	1	HA_TH	Thousands of hectares	34	2015	34	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	HA_TH	Thousands of hectares	161.6	2015	161.6	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	316	144.7029305	13.35485404	GUM	Guam	1	HA_TH	Thousands of hectares	54	2015	54	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	320	-91.2312746	15.00273719	GTM	Guatemala	1	HA_TH	Thousands of hectares	10716	2015	10716	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	324	-11.28173419	11.00210343	GIN	Guinea	1	HA_TH	Thousands of hectares	24572	2015	24572	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	328	-58.97322037	4.788012784	GUY	Guyana	1	HA_TH	Thousands of hectares	19685	2015	19685	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	332	-72.33640958	18.40426539	HTI	Haiti	1	HA_TH	Thousands of hectares	2756	2015	2756	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	336	12.45315803	41.90343751	VAT	Holy See	1	HA_TH	Thousands of hectares	0.0439	2015	0.0439	Not in FAOSTAT. Data from national website	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	340	-86.59974381	14.82243161	HND	Honduras	1	HA_TH	Thousands of hectares	11189	2015	11189	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	348	19.41221519	47.1651448	HUN	Hungary	1	HA_TH	Thousands of hectares	9053	2015	9053	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	352	-19.02116966	64.79134763	ISL	Iceland	1	HA_TH	Thousands of hectares	10025	2015	10025	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	356	79.3608464	22.34642074	IND	India	1	HA_TH	Thousands of hectares	297319	2015	297319	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	360	113.9174	-0.994582204	IDN	Indonesia	1	HA_TH	Thousands of hectares	181157	2015	181157	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	HA_TH	Thousands of hectares	162876	2015	162876	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	368	43.76606267	33.05013795	IRQ	Iraq	1	HA_TH	Thousands of hectares	43432	2015	43432	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	372	-7.121425272	53.25274054	IRL	Ireland	1	HA_TH	Thousands of hectares	6889	2015	6889	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	376	34.62277992	31.06164552	ISR	Israel	1	HA_TH	Thousands of hectares	2164	2015	2164	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	380	12.57022427	42.79917282	ITA	Italy	1	HA_TH	Thousands of hectares	29414	2015	29414	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	HA_TH	Thousands of hectares	31800	2015	31800	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	388	-77.31068409	18.15616857	JAM	Jamaica	1	HA_TH	Thousands of hectares	1083	2015	1083	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	392	139.2716103	36.6554539	JPN	Japan	1	HA_TH	Thousands of hectares	36456	2015	36456	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	HA_TH	Thousands of hectares	269970	2015	269970	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	400	37.13024774	30.65365973	JOR	Jordan	1	HA_TH	Thousands of hectares	8878	2015	8878	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	404	37.86096816	0.534797278	KEN	Kenya	1	HA_TH	Thousands of hectares	56914	2015	56914	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	HA_TH	Thousands of hectares	12041	2015	12041	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	410	127.8610254	36.45201023	KOR	Republic of Korea	1	HA_TH	Thousands of hectares	9748	2015	9748	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	414	47.49305029	29.53949468	KWT	Kuwait	1	HA_TH	Thousands of hectares	1782	2015	1782	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	HA_TH	Thousands of hectares	19180	2015	19180	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	HA_TH	Thousands of hectares	23080	2015	23080	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	422	35.89391711	33.92152458	LBN	Lebanon	1	HA_TH	Thousands of hectares	1023	2015	1023	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	426	28.25362195	-29.58041814	LSO	Lesotho	1	HA_TH	Thousands of hectares	3036	2015	3036	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	428	26.42461876	56.64196636	LVA	Latvia	1	HA_TH	Thousands of hectares	6218	2015	6218	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	430	-9.311879038	6.448381009	LBR	Liberia	1	HA_TH	Thousands of hectares	9632	2015	9632	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	434	18.0295985	27.04042819	LBY	Libya	1	HA_TH	Thousands of hectares	175954	2015	175954	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	438	9.552985019	47.14167005	LIE	Liechtenstein	1	HA_TH	Thousands of hectares	16	2015	16	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	440	23.90517807	55.33680309	LTU	Lithuania	1	HA_TH	Thousands of hectares	6264.6	2015	6264.6	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	442	6.092656563	49.77679538	LUX	Luxembourg	1	HA_TH	Thousands of hectares	259	2015	259	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	HA_TH	Thousands of hectares					
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	450	46.6982339	-19.38514785	MDG	Madagascar	1	HA_TH	Thousands of hectares	58180	2015	58180	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	454	33.4884625	-13.40819859	MWI	Malawi	1	HA_TH	Thousands of hectares	9428	2015	9428	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	458	116.8346314	5.452415309	MYS	Malaysia	1	HA_TH	Thousands of hectares	32855	2015	32855	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	462	73.09672546	-0.614385021	MDV	Maldives	1	HA_TH	Thousands of hectares	30	2015	30	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	466	-3.522016039	17.35311254	MLI	Mali	1	HA_TH	Thousands of hectares	122019	2015	122019	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	470	14.44617519	35.89194275	MLT	Malta	1	HA_TH	Thousands of hectares	32	2015	32	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	474	-60.91544135	14.56086108	MTQ	Martinique	1	HA_TH	Thousands of hectares	106	2015	106	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	478	-10.33187259	20.26089546	MRT	Mauritania	1	HA_TH	Thousands of hectares	103070	2015	103070	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	480	57.568022	-20.28581998	MUS	Mauritius	1	HA_TH	Thousands of hectares	203	2015	203	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	484	-102.5148166	23.93378032	MEX	Mexico	1	HA_TH	Thousands of hectares	194395	2015	194395	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	492	7.424214814	43.73532918	MCO	Monaco	1	HA_TH	Thousands of hectares	0.2027	2015	0.2027	Not in FAOSTAT. Data from national website	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	496	103.0728057	46.83892054	MNG	Mongolia	1	HA_TH	Thousands of hectares	155356	2015	155356	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	498	28.4650624	47.20236795	MDA	Republic of Moldova	1	HA_TH	Thousands of hectares	3287	2015	3287	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	499	19.25214024	42.78717043	MNE	Montenegro	1	HA_TH	Thousands of hectares	1345	2015	1345	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	500	-62.19261223	16.73558313	MSR	Montserrat	1	HA_TH	Thousands of hectares	10	2015	10	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	504	-6.281942841	31.8440131	MAR	Morocco	1	HA_TH	Thousands of hectares	44630	2015	44630	FAOSTAT	E
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	508	38.18479941	-14.27963886	MOZ	Mozambique	1	HA_TH	Thousands of hectares	78638	2015	78638	FAOSTAT	C
2018.Q2.G.01	AG_LND_TOTL	Land area (thousands of hectares)	512	57.87743482	21.98805614	OMN	Oman	1	HA_TH	Thousands of hectares	30950	2015	30950	FAOSTAT	E
