series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage		100	55.55556	60	73.91304	79.31034	79.31034	79.31034	79.31034	79.31034	80.64516	80.64516	80	80	80	88.57143	88.57143	88.57143	90.2439	90.2439	90.2439	92.68293	87.80488	79.06977	79.06977	79.06977	79.06977	79.06977	79.06977	79.06977	2018	79.06977	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage			100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	95	95	95	95	86.36364	86.36364	82.6087	82.6087	86.588936	2018	82.6087	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	100	100	80	85.71429	86.66667	87.5	87.5	87.5	82.35294	73.68421	75	75	75	85	86.95652	78.26087	78.26087	78.26087	95.16129	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	93.65079	2018	93.65079	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	0	0	0	0	16.66667	15.38462	15.38462	15.38462	15.38462	15.38462	15.38462	6.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBRED	Proportion of local breeds classified as being at unknown level of risk of extinction (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																			100	100	100	100	100	100	100	100	100	100	100	100	2018	100	DAD-IS 2018 http://www.fao.org/dad-is/	C
