series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage											17.06756	16.04843	10.3568	14.1028	14.46593	12.509			13.6925766666667	2015	12.509	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	10.13703	10.58193	9.88692	10.5736	10.70316	11.35797	10.93295	11.17719						12.12391		11.3177			11.720805	2015	11.3177	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																							
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage									11.42835											2008	11.42835	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																							
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage														8.04025	9.9616	10.17952	9.66894		9.4625775	2016	9.66894	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	5.25508					7.99235	7.45479				8.68477									2010	8.68477	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage			11.70154							6.92814										2009	6.92814	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	21.11908	20.87755	13.63072	15.17084	14.23504	13.22315	10.10042	9.77937	7.82274	9.34393	8.70084	7.23716	5.65326	6.47031	7.2394	7.63146			7.11372333333333	2015	7.63146	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	16.22696	16.35761	16.44329	14.36279	15.16129	15.81084	15.53258	15.13017	15.82108	16.08604	15.04841	15.15904	14.51861	14.45833	13.96869	14.09868			14.1752333333333	2015	14.09868	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	13.36016					13.58513	13.1782	13.03027	12.59972	13.41502	14.3276	13.50202	13.18191	14.03629	13.88297				13.95963	2014	13.88297	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	11.03322	10.85632	10.53233	10.73962	9.87333	10.26185	10.37458	10.45229	10.55515	10.58393	10.78913	10.98849	10.70236	10.87255	10.41331				10.64293	2014	10.41331	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage	18.92281																			2000	18.92281	UNESCO Institute of Statistics (UIS).	E
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage							11.91866	11.02673	10.55867				8.28845	7.21531	8.68403	7.29736	7.59457		7.6978175	2016	7.59457	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	20.49042	18.58478	15.6938	16.68163	15.95312		17.33653	18.1534	17.81619	14.02987		16.79397	15.59324	13.82282			18.1174		15.97011	2016	18.1174	UNESCO Institute of Statistics (UIS).	E
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage						13.64809	13.57852	13.46559	14.26845	13.45122	12.40051	12.59334	12.36897	11.13676	9.36712	10.65636	10.1972		10.33936	2016	10.1972	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	16.52777	20.55063	18.71077	19.43142	19.35429	19.12744		18.10609	15.6306	16.10587	18.09633		16.70269	14.84482	17.45106		14.3578		15.5512266666667	2016	14.3578	UNESCO Institute of Statistics (UIS).	C
2018.Q2.G.01	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage		11.87948	12.01328	11.60373	11.86717	11.1742	12.05537	12.12403	12.51309	11.84788	12.01439	11.71488		11.90734	11.95835				11.932845	2014	11.95835	UNESCO Institute of Statistics (UIS).	C
