"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Location_Code","Location_Desc","ReportingType_Code","ReportingType_Desc","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","53.1707038879395",2016.0,"53.1707038879395","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"4","Afghanistan","AFG","66.02688198","33.83160199","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","59.8548011779785",2016.0,"59.8548011779785","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"8","Albania","ALB","20.06660928","41.13897007","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","17.8698272705078",2016.0,"17.8698272705078","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"8","Albania","ALB","20.06660928","41.13897007","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","18.1720695495605",2016.0,"18.1720695495605","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"10","Antarctica","ATA","21.47585697","-80.40897662","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","35.1679573059082",2016.0,"35.1679573059082","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"12","Algeria","DZA","2.678164227","28.15940032","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","34.5022430419922",2016.0,"34.5022430419922","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"16","American Samoa","ASM","-170.7187269","-14.30587306","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","11.5170726776123",2016.0,"11.5170726776123","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"20","Andorra","AND","1.576257417","42.54548611","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","9.9491825103760",2016.0,"9.9491825103760","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"24","Angola","AGO","17.57817062","-12.33724746","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","URBAN","Urban","G","Global","28.4056110382080",2016.0,"28.4056110382080","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"24","Angola","AGO","17.57817062","-12.33724746","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","27.9496593475342",2016.0,"27.9496593475342","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","1","EN_ATM_PM25","Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)","2019.Q1.G.01","mgr/m^3","Micrograms per cubic meter","ALLAREA","All areas","G","Global","17.9172744750977",2016.0,"17.9172744750977","Estimated data","http://apps.who.int/gho/data/node.sdg.11-6"
