"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2005","Footnotes_2010","Footnotes_2015","Nature_Code_2005","Nature_Code_2010","Nature_Code_2015","Source_2005","Source_2010","Source_2015","TimeDetail_2005","TimeDetail_2010","TimeDetail_2015","Value_2005","Value_2010","Value_2015","Latest_Year","Latest_Value"
"","","","1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","-0.113","-0.085","-0.083",2015.0,"-0.083"
"BGR","25.23763153","42.75731323","100","Bulgaria","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","1.580","0.470","0.460",2015.0,"0.460"
"MMR","96.51752295","21.19332882","104","Myanmar","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-0.900","-0.950","-1.780",2015.0,"-1.780"
"BDI","29.89080992","-3.366387428","108","Burundi","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-1.780","6.930","1.760",2015.0,"1.760"
"","","","11","Western Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","-0.963","-1.022","-0.950",2015.0,"-0.950"
"BLR","28.04940161","53.54193075","112","Belarus","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","0.390","0.230","0.230",2015.0,"0.230"
"KHM","104.922836","12.71163737","116","Cambodia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-1.450","-1.220","-1.300",2015.0,"-1.300"
"DZA","2.678164227","28.15940032","12","Algeria","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-0.550","4.540","0.390",2015.0,"0.390"
"CMR","12.7419827","5.692387031","120","Cameroon","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-1.020","-1.070","-1.130",2015.0,"-1.130"
"CAN","-101.6575058","57.72360191","124","Canada","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-0.010","-0.020","-0.010",2015.0,"-0.010"
"","","","13","Central America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","-0.448","-0.399","-0.280",2015.0,"-0.280"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","0.360","0.360","1.110",2015.0,"1.110"
"","","","135","Caucasus and Central Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","0.103","-0.075","0.048",2015.0,"0.048"
"CYM","-81.16740559","19.32266656","136","Cayman Islands","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","E","E","E","FAO Estimate","FAO Estimate","FAO Estimate","","","","0.000","0.000","0.000",2015.0,"0.000"
"","","","14","Eastern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","Aggregate, may include official, semi-official, estimated or calculated data","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","-0.649","-0.721","-0.607",2015.0,"-0.607"
"CAF","20.93559492","7.003720791","140","Central African Republic","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCHG","Forest area net change rate (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","C","C","C","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","","","","-0.070","-0.070","-0.070",2015.0,"-0.070"
