"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2005","Footnotes_2010","Footnotes_2015","Nature_Code_2000","Nature_Code_2005","Nature_Code_2010","Nature_Code_2015","Source_2000","Source_2005","Source_2010","Source_2015","TimeDetail_2000","TimeDetail_2005","TimeDetail_2010","TimeDetail_2015","Value_2000","Value_2005","Value_2010","Value_2015","Latest_Year","Latest_Value"
"","","","1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","441765.123","437625.574","435168.928","434675.281",2015.0,"434675.281"
"BGR","25.23763153","42.75731323","100","Bulgaria","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","269","303","329","355",2015.0,"355"
"MMR","96.51752295","21.19332882","104","Myanmar","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","3217","3074","2931","2750.63",2015.0,"2750.63"
"BDI","29.89080992","-3.366387428","108","Burundi","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","31.66","30.15","42.25","46.03",2015.0,"46.03"
"","","","11","Western Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","12234.53","11615.57","11053.93","10500.14",2015.0,"10500.14"
"BLR","28.04940161","53.54193075","112","Belarus","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","786.6","881.9","996.6","1053.4",2015.0,"1053.4"
"KHM","104.922836","12.71163737","116","Cambodia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","732","676","633","590",2015.0,"590"
"DZA","2.678164227","28.15940032","12","Algeria","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","53.9","52.41","65.45","66.75",2015.0,"66.75"
"CMR","12.7419827","5.692387031","120","Cameroon","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","5137","4881","4626","4371",2015.0,"4371"
"","","","13","Central America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","7113","6896.6","6694.3","6536.8",2015.0,"6536.8"
