"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2015","Nature_Code_2015","Source_2015","TimeDetail_2015","Value_2015","Latest_Year","Latest_Value"
"","","","18","Southern Africa","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Environment Live","","100",2015.0,"100"
"COD","23.65496507","-2.877154732","180","Democratic Republic of the Congo","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"COK","-159.7711391","-21.22696458","184","Cook Islands","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"CRI","-84.19712782","9.970998683","188","Costa Rica","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"","","","19","Americas","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Environment Live","","100",2015.0,"100"
"HRV","17.95874553","45.45172212","191","Croatia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"CUB","-79.54460144","22.10030366","192","Cuba","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"CYP","33.22285964","35.05659437","196","Cyprus","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","NA","Environment Live","","100",2015.0,"100"
"","","","199","Least Developed Countries (LDCs)","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Environment Live","","100",2015.0,"100"
"","","","2","Africa","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRMNTRL","Compliance with the Montreal Protocol on hazardous waste and other chemicals","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Environment Live","","100",2015.0,"100"
