"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Units_Code","Units_Desc","Footnotes_2010","Footnotes_2013","Footnotes_2015","Footnotes_2016","Footnotes_2017","Footnotes_2018","Nature_Code_2010","Nature_Code_2013","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Nature_Code_2018","Source_2010","Source_2013","Source_2015","Source_2016","Source_2017","Source_2018","TimeDetail_2010","TimeDetail_2013","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","TimeDetail_2018","Value_2010","Value_2013","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value"
"AND","1.576257417","42.54548611","20","Andorra","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","11.800","","",2016.0,"11.800"
"EST","25.84093481","58.68487172","233","Estonia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","3962.273","","","","",2013.0,"3962.273"
"FJI","177.9660884","-17.83301566","242","Fiji","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","83468314.810","","",2016.0,"83468314.810"
"JPN","139.2716103","36.6554539","392","Japan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","2140000000000.000","","","",2015.0,"2140000000000.000"
"AUT","14.14172472","47.58704857","40","Austria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","78384.000","","","",2015.0,"78384.000"
"LVA","26.42461876","56.64196636","428","Latvia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","24509.000","","",2016.0,"24509.000"
"MYS","116.8346314","5.452415309","458","Malaysia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","1.45E+13","","","","","",2010.0,"1.45E+13"
"MAR","-6.281942841","31.8440131","504","Morocco","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","18340.000","",2017.0,"18340.000"
"MHL","171.0839119","7.110213497","584","Marshall Islands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","0.000","",2017.0,"0.000"
"POL","19.40660158","52.1226733","616","Poland","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","1670000000000.000","","","",2015.0,"1670000000000.000"
"SVN","14.82209486","46.11958061","705","Slovenia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","36026.000","","","",2015.0,"36026.000"
"ZAF","24.67184355","-29.99957544","710","South Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","5637504894.000","","",2016.0,"5637504894.000"
