ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfMobileTechnology_Code,TypeOfMobileTechnology_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BTN,90.45098484,27.39598568,64,Bhutan,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,"3G service is available only in the capital city, THIMPHU.","3G available in Thimphu, Paro and Chukha.","3G now avialable in Thimphu, Paro, Chukha and Bajo Town in Wangdue Phodrang District",,,80% for Bhutan Telecom and 70% for TashiCell,,"3G service is available only in the capital city, THIMPHU.","3G available in Thimphu, Paro and Chukha.","3G now avialable in Thimphu, Paro, Chukha and Bajo Town in Wangdue Phodrang District",,,80% for Bhutan Telecom and 70% for TashiCell,by two operators,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,Ministry of Information & Communications,,,,,,,,,,,,,,,,,,,,,14.98,32.5,33.6,54.7,60,80,,14.98,32.5,33.6,54.7,60,80,85,2016.0,85
BTN,90.45098484,27.39598568,64,Bhutan,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,ITU estimate,,by two operators,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,ITU estimate,Ministry of Information & Communications,Ministry of Information & Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72,40,53,2016.0,53
AIA,-63.05651612,18.21525315,660,Anguilla,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,ITU estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,2015.0,99
AIA,-63.05651612,18.21525315,660,Anguilla,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,NA,,,,,,,,,ITU estimate,,,,,,,ITU estimate,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,99,99,2016.0,99
AIA,-63.05651612,18.21525315,660,Anguilla,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,-64.66224284,-16.71273412,68,Bolivia (Plurinational State of),9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,"Break in comparability: from this year simulated coverage of base stations, as reported by operators.",,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,,,,,,,,,,,,,,,,,,43,,,,45.9,45.9,45.9,,,69,80,95,100,100,100,91.99,2016.0,91.99
BOL,-64.66224284,-16.71273412,68,Bolivia (Plurinational State of),9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,Simulated coverage of base stations.,,,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,,,,,,,,,,,,,,,,,,,,,2,5,12,27,27,,,2,5,12,27,27,74.48,2016.0,74.48
BOL,-64.66224284,-16.71273412,68,Bolivia (Plurinational State of),9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,Simulated coverage of base stations.,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.5,60.7,2016.0,60.7
BIH,17.78584332,44.16845548,70,Bosnia and Herzegovina,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Communication Regulatory Agency,Communication Regulatory Agency,Communication Regulatory Agency,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,,,,,,,,,,,,,,,,,,60,80,90,93,95,97,99,99,99.3,99.5,99.7,99.7,99.8,99.8,99.8,100,100,2016.0,100
BIH,17.78584332,44.16845548,70,Bosnia and Herzegovina,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Communication Regulatory Agency,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communication Regulatory Agency,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,,,,,,,,,,,,,,,,,,,,25,60,70,72,90,95,96,25,60,70,72,90,95,96,96,2016.0,96
BIH,17.78584332,44.16845548,70,Bosnia and Herzegovina,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,Communications Regulatory Agency B & H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2016.0,0
BWA,23.81380223,-22.18810073,72,Botswana,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,, ,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,,Mascom.,Botswana Telecommunications Authority (BTA).,Botswana Telecommunications Authority (BTA).,Botswana Telecommunications Authority (BTA).,Botswana Telecommunications Authority (BTA).,Botswana Telecommunications Authority (BTA).,Botswana Telecommunications Authority (BTA).,,,Botswana Telecommunications Authority,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,,,96,96,,98,98,98,2016.0,98
BWA,23.81380223,-22.18810073,72,Botswana,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,Botswana Telecommunications Authority estimate,Estimate based on the various percentages provided by operators.,,,,,,Botswana Telecommunications Authority estimate,Estimate based on the various percentages provided by operators.,,,,,,,,,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,,,,,Botswana Telecommunications Authority,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),,,Botswana Telecommunications Authority,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),,,,,,,,,,,,,,,,,,,,,,40,45,,78,92,,,40,45,,78,92,84,2016.0,84
BWA,23.81380223,-22.18810073,72,Botswana,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,ITU estimate,ESTIMATED,Estimated,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,ITU estimate,Botswana Communications Regulatory Authority (BOCRA),Botswana Communications Regulatory Authority (BOCRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,64,2016.0,64
BRA,-53.08432878,-10.77668561,76,Brazil,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,The difference is due to municipalities that were created during the period.,,The value was calculated by reference to -95dBm.,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,NA,NA,NA,National Agency of Telecomunications,National Agency of Telecomunications,National Agency of Telecomunications,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,,Agência Nacional de Telecomunicaçoes,,,,,,,,,,,,,,,,,,,,,,,88,88.35,89.42,90.64,91.72,96.58,99.89,99.99,99.99,99.98,,92.11,,2015.0,92.11
BRA,-53.08432878,-10.77668561,76,Brazil,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,Preliminary.,The value was calculated by reference to -102dBm.,,,,,,Preliminary.,The value was calculated by reference to -102dBm.,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,National Agency of Telecomunications,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,National Agency of Telecomunications,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,Agência Nacional de Telecomunicaçoes,,,,,,,,,,,,,,,,,,,,,55,67.05,81.63,85.98,88.66,92.2,93.53,55,67.05,81.63,85.98,88.66,92.2,93.53,,2015.0,93.53
BRA,-53.08432878,-10.77668561,76,Brazil,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,ITU estimate,The value was calculated by reference to -110dBm.,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,ITU estimate,Agência Nacional de Telecomunicaçoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,56.72,,2015.0,56.72
ALB,20.06660928,41.13897007,8,Albania,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Ministry for Innovation and ICT,Ministry for Innovation and ICT,,Minister for Innovation and ICT,Minister for Innovation and ICT,National Agency on Information Society,National Agency on Information Society,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,,,,,,,,,,,,,,,,,,,84,90,90.4,89,91,96.5,96.5,99.3,,98.2,99,99,100,99.8,100,99.8,2016.0,99.8
ALB,20.06660928,41.13897007,8,Albania,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,Minister for Innovation and ICT,National Agency on Information Society,National Agency on Information Society,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,,,Minister for Innovation and ICT,National Agency on Information Society,National Agency on Information Society,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,,,,,,,,,,,,,,,,,,,,,,85.6,99,99,99,99,,,85.6,99,99,99,99,99,2016.0,99
ALB,20.06660928,41.13897007,8,Albania,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,ITU estimate,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,ITU estimate,Minister of State for the Innovation and Public Administration,Minister of State for the Innovation and Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,80.2,2016.0,80.2
ASM,-170.7187269,-14.30587306,16,American Samoa,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,-170.7187269,-14.30587306,16,American Samoa,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,ITU estimate,,,,,,,ITU estimate,,,,,,,,,,NA,,,,,,,NA,NA,,,,,,,,,ITU estimate,,,,,,,ITU estimate,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,55,92.67,2016.0,92.67
ASM,-170.7187269,-14.30587306,16,American Samoa,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,ITU estimate,ITU estimate,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,ITU estimate,ITU estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2015.0,0
BLZ,-88.70199554,17.19965901,84,Belize,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,-88.70199554,17.19965901,84,Belize,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,2016.0,95
BLZ,-88.70199554,17.19965901,84,Belize,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,Belize Telemedia Limited,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46.94,2016.0,46.94
ATA,21.47585697,-80.40897662,10,Antarctica,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA,21.47585697,-80.40897662,10,Antarctica,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA,21.47585697,-80.40897662,10,Antarctica,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVT,3.410732868,-54.43295905,74,Bouvet Island,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVT,3.410732868,-54.43295905,74,Bouvet Island,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
