ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfMobileTechnology_Code,TypeOfMobileTechnology_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
,,,2,Africa,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.195269,64.682232,,2015.0,64.682232
,,,2,Africa,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.392797,18.732467,,2015.0,18.732467
AND,1.576257417,42.54548611,20,Andorra,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,Andorra Telecom,Andorra Telecom,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,Andorra Telecom SAU,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,91,,,,91.3,91.3,99,99,99.1,99.1,99.1,99.1,99.1,99.1,99.5,99.5,2016.0,99.5
AND,1.576257417,42.54548611,20,Andorra,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,Andorra Telecom SAU,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,Andorra Telecom SAU,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,95.3,95.3,95.3,95.3,95.3,95.3,97,95.3,95.3,95.3,95.3,95.3,95.3,97,97,2016.0,97
AND,1.576257417,42.54548611,20,Andorra,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,Andorra Telecom SAU,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,2016.0,50
BEN,2.339933594,9.65401646,204,Benin,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité transitoire de régulation des postes et télécommunications du Bénin,,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,,,,,,,,,,,,,,,,,,23,27,36,40,43,70,75,79,82,90,99,99,,99,,98,2016.0,98
BEN,2.339933594,9.65401646,204,Benin,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité Transitoire de Régulation des Postes et Télécommunications,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité transitoire de régulation des postes et télécommunications du Bénin,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,,,,,,,,,,,,,,,,,0,0,0,0,0,0,25,30,45,0,0,0,0,25,30,45,45,2016.0,45
BEN,2.339933594,9.65401646,204,Benin,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL4G,At least 4G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,2016.0,23.89
AGO,17.57817062,-12.33724746,24,Angola,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL2G,At least 2G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,NA,NA,NA,,,,,,,NA,,,,,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,90,92,99,99,2016.0,99
AGO,17.57817062,-12.33724746,24,Angola,9,"Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",9.c,Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020,9.c.1,"Proportion of population covered by a mobile network, by technology",1,IT_MOB_NTWK,"Proportion of population covered by a mobile network, by technology (%)",2019.Q1.G.01,AL3G,At least 3G mobile network,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,40,47,53,46,100,,,40,47,53,46,100,62,2016.0,62
