"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"BGR","25.23763153","42.75731323","100","Bulgaria","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74."," Users in the last 3 months. Age 16-74."," Users in the last 3 months.","Population age 16-74.","Population age 16-74.","Population age 16-74.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Bulgarian Telecommunications Company Ltd.","Bulgarian Telecommunications Company Ltd.","Communications Regulation Commission.","Communications Regulation Commission.","Eurostat","Communications Regulation Commission.","Eurostat","Communications Regulation Commission","Communications Regulation Commission","Communications Regulation Commission","Communications Regulation Commission","Eurostat.","Eurostat.","Eurostat.","Eurostat","Eurostat.","National Statistical Institute.","","","","","","","","","","","","","","","","","","5.4","7.6","9.1","12.0","18.1","20.0","27.1","33.6","39.7","45.0","46.2","48.0","51.9","53.1","55.5","56.7","59.8",2016.0,"59.8"
"BDI","29.89080992","-3.366387428","108","Burundi","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","","NULL","Population age 5+.","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Agence de Régulation et de Contrôle des Télécommunications (ARCT)","Agence de Régulation et de Contrôle des Télécommunications (ARCT)","ITU estimate. ","ITU estimate. ","ITU estimate.","ITU estimate.","Institut de Statistiques et d'tudes Economiques","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.2","0.3","0.5","0.7","0.7","0.8","0.9","1.0","1.1","1.2","1.3","1.4","4.9","5.2",2016.0,"5.2"
"BLR","28.04940161","53.54193075","112","Belarus","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","","","","Population age 16+.","Population age 16+.","Population age 16+.","Population age 16+.","Population age 16+.","Population age 16+.","Population age 16+.","Population age 6+ (break in comparability, before 16+).","Population age 6+.","Break in series. Population age 6-72.","NULL","NA","NA","NA","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beltelecom.","Beltelecom.","Beltelecom.","","","","National Statistical Committee.","National Statistical Committee.","National Statistical Committee.","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus (Belstat)","National Statistical Committee of the Republic of Belarus (Belstat).","","","","","","","","","","","","","","","","","","1.9","4.3","9.0","","","","16.2","19.7","23.0","27.4","31.8","39.6","46.9","54.2","59.0","67.3","71.1",2016.0,"71.1"
"KHM","104.922836","12.71163737","116","Cambodia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","Based on Cambodia's Inter-censal Population Survey 2013 and growth of mobile broadband.","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ministry of Post and Telecommunications (MPTC).","Ministry of Post and Telecommunications (MPTC).","Ministry of Post and Telecommunications (MPTC).","Ministry of Post and Telecommunications (MPTC).","Ministry of Post and Telecommunications (MPTC).","Ministry of Post and Telecommunications (MPTC).","ITU estimate.","MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC)","MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC)","MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC)","Ministry of Posts and Telecommunications","ITU estimate.","National Institute of Statistics","ITU estimate based on National Institute of Statistics","ITU estimate.","ITU estimate.","National Institute of Statistics.","","","","","","","","","","","","","","","","","","0.0","0.1","0.2","0.3","0.3","0.3","0.5","0.5","0.5","0.5","1.3","3.1","4.9","6.8","14.0","22.3","32.4",2016.0,"32.4"
"DZA","2.678164227","28.15940032","12","Algeria","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","Autorité de Régulation de la Poste et des Télécommunications","Autorité de Régulation de la Poste et des Télécommunications","Autorité de Régulation de la Poste et des Télécommunications","ITU estimate. ","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.5","0.6","1.6","2.2","4.6","5.8","7.4","9.5","10.2","11.2","12.5","14.9","18.2","22.5","29.5","38.2","42.9",2016.0,"42.9"
"CMR","12.7419827","5.692387031","120","Cameroon","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","Population age 15+.","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Agence de Régulation des Statistiques","ITU estimate.","Agence de Régulation des Statistiques","ITU estimate.","ITU estimate. ","ITU estimate.","ITU estimate.","Institut National de la Statistique","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.3","0.3","0.4","0.6","1.0","1.4","2.0","2.9","3.4","3.8","4.3","5.0","7.5","10.0","16.2","20.7","25.0",2016.0,"25.0"
"CAN","-101.6575058","57.72360191","124","Canada","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","Survey result, scope age unknown.","Survey result, scope age unknown.","Survey result, scope age unknown.","Survey result, scope age unknown.","Survey result, scope age unknown.","Population age 16+.","Estimated based on Survey's results 2005 and 2007. Population age 16+.","Population age 16+.","Estimate based on Survey's results 2007 and 2009. Population age 16+.","Population age 16+.","Population age 16+. Survey was redesigned, therefore comparison with previous years should not be done.","","Residents of Canada 16 years of age or older excluding: Residents of the Yukon, Northwest Territories and Nunavut, Inmates of Institutions, Persons living on Indian Reserves, and Full time members of the Canadian Forces.","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Statistics Canada.","Statistics Canada.","Statistics Canada.","Statistics Canada.","Statistics Canada.","Statistics Canada.","ITU estimate.","Statistics Canada.","ITU estimate.","Statistics Canada.","Statistics Canada.","ITU estimate.","CIUS.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","51.3","60.2","61.6","64.2","66.0","71.7","72.4","73.2","76.7","80.3","80.3","83.0","83.0","85.8","87.1","88.5","89.8",2016.0,"89.8"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cabo Verde Telecom.","Cabo Verde Telecom.","ITU estimate.","Cabo Verde Telecom.","Cabo Verde Telecom.","Instituto das Comunicações e das Tecnologias de Informação.","Instituto das Comunicações e das Tecnologias de Informação.","Instituto das Comunicações e das Tecnologias de Informação.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Instituto Nacional de Estatística","ITU estimate.","ITU estimate.","ITU estimate.","Instituto Nacional de Estatística.","","","","","","","","","","","","","","","","","","1.8","2.7","3.5","4.3","5.3","6.1","6.8","8.3","14.0","21.0","30.0","32.0","34.7","37.5","40.3","48.0","50.3",2016.0,"50.3"
"CYM","-81.16740559","19.32266656","136","Cayman Islands","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","","","","","Source: Tower Omnibus Survey.","NULL","NULL","","","NULL","","NULL","NULL","NULL","NULL","NULL","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","0","ITU estimate.","ITU estimate.","Information and Communications Technology Authority ","Information and Communications Technology Authority ","ITU estimate confirmed by the Information and Communications Technology Authority ","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","","","","","","38.0","44.5","52.0","61.0","64.5","66.0","69.5","69.7","71.4","74.1","77.0","79.0",2016.0,"79.0"
"CAF","20.93559492","7.003720791","140","Central African Republic","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Société Centrafricaine des Télécommunications.","Société Centrafricaine des Télécommunications.","ITU estimate.","ITU estimate. ","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.2","0.2","0.3","0.3","0.4","1.0","1.8","2.0","2.2","3.0","3.4","3.6","3.8","4.0",2016.0,"4.0"
