seriesCode,countryAttributeId,seriesId,seriesName,sourceId,tableId
T-Plant,,390,Threatened Species: Plants (number),41,5
T-Total,,391,Threatened Species: Total (number),41,5
Tot_Fer,,392,Total fertility rate (children per women) ,87,8
impexpbal,10.0,449,Balance imports/exports (millions of US dollars),95,68
Land_area,,998,Land area (thousand hectares),78,64
matmortbk,,1159,"Maternal mortality ratio (deaths per 100,000 population)",43,8
mdyrbk,,1160,Population mid-year estimates (millions),73,89
surfarea,,1170,Surface area (thousand km2),35,89
popdens,,1171,Population density,73,89
Curr_acct,,1355,Balance of Payments: Current account (millions of US dollars),16,74
Cap_acct,,1360,Balance of Payments: Capital account (millions of US dollars),16,74
cell_100,,1367,Cellular mobile telephone subscriptions (per 100 inhabitants),18,107
cell,,1368,Cellular mobile telephone subscriptions (number),18,107
Forest,,1375,Forest cover (thousand hectares),78,64
Met+MetPro,,1378,Index of industrial production: Metal products and machinery (Index Base: 2005=100),74,23
gpi_primar,,1387,Ratio of girls to boys in primary education,24,115
gpi_second,,1388,Ratio of girls to boys in secondary education,24,115
gpi_tertia,,1389,Ratio of girls to boys in tertiary education,24,115
treceipts,,1390,Tourism expenditure (millions of US dollars),45,116
tarrivals,11.0,1391,Tourist/visitor arrivals (thousands),45,116
RD-%GDP,,1393,Gross domestic expenditure on R & D: as a percentage of GDP (%),76,6
patfil_pop,,1400,Resident patent filings (per million population),44,67
wom_parlia,2.0,1425,"Seats held by women in national parliament, as of February (%)",82,134
nofemprim,,1426,Pupil-teacher ratio in primary education,24,135
nofemsec,,1427,Pupil-teacher ratio in secondary education,24,135
nofemtert,,1428,Pupil-teacher ratio in tertiary education,24,135
noteachpri,,1429,Teachers at primary level (thousands),24,135
noteachsec,,1430,Teachers at secondary level (thousands),24,135
noteachter,,1431,Teachers at tertiary level (thousands),24,135
ElGsStACsu,,1445,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",74,23
int%,,1491,Percentage of individuals using the internet 											,18,106
dentnum,,1511,Health personnel: Dentists (number),84,151
dents,,1512,Health personnel: Dentists (per 1000 population),84,151
nursmidwnu,,1513,Health personnel: Nurses and midwives (number),84,151
pharmper,,1514,Health personnel: Pharmacists (per 1000 population),84,151
pharmnum,,1515,Health personnel: Pharmacists (number),84,151
nursemid,,1516,Health personnel: Nurses and midwives personnel (per 1000 population),84,151
Physnum,,1517,Health personnel: Physicians (number),84,151
physicianh,,1519,Health personnel: Physicians (per 1000 population),84,151
co2_percap,,1520,Emissions per capita (metric tons of carbon dioxide),3,152
co2,,1521,Emissions (thousand metric tons of carbon dioxide),3,152
GNI_%,,1555,Net official development assistance received: Total (as % GNI),22,77
watcolltmt,,1567,Index of industrial production: Water and waste management (Index base: 2005=100),74,23
hlth%GDP,,1572,Current health expenditure (% of GDP),91,117
hlth%govt,,1573,Domestic general government health expenditure (% of total government expenditure),91,117
Arableperc,,1576,Arable land (% of total land area),78,64
Prmcropper,,1577,Permanent crops (% of total land area),78,64
forcoverpe,,1578,Forest cover (% of total land area),78,64
Mach,,1579,Index of industrial production: Machinery (Index base: 2005=100),74,23
miscman,,1580,Index of industrial production: Miscellaneous manufacturing industries (Index base: 2005=100),74,23
Agri_va,,1581,"Agriculture, hunting, forestry and fishing (% of gross value added)",37,18
ind_va,,1582,Industry (% of gross value added),37,18
serv_va,,1583,Services (% of gross value added),37,18
I3AgriMF,,1584,Employment by industry: Agriculture (%) Male and Female,85,49
I3AgriM,,1585,Employment by industry: Agriculture (%) Male ,85,49
I3AgriF,,1586,Employment by industry: Agriculture (%) Female,85,49
I3IndMF,,1587,Employment by industry: Industry (%) Male and Female,85,49
I3IndM,,1588,Employment by industry: Industry (%) Male,85,49
I3IndF,,1589,Employment by industry: Industry (%) Female,85,49
I3ServMF,,1590,Employment by industry: Services (%) Male and Female,85,49
I3ServM,,1591,Employment by industry: Services (%) Male ,85,49
I3ServF,,1592,Employment by industry: Services (%) Female,85,49
totenergy,,1593,Primary energy production (petajoules),29,65
netimp,,1594,Net imports [Imports - Exports - Bunkers] (petajoules),29,65
stockchg,,1595,Changes in stocks (petajoules),29,65
totsupply,,1596,Total supply (petajoules),29,65
capsupply,,1597,Supply per capita (gigajoules),29,65
UnTotal,,1600,Unemployment rate - Total,85,94
UnMale,,1601,Unemployment rate - Male,85,94
UnFemale,,1602,Unemployment rate - Female,85,94
LfTotal,,1603,Labour force participation - Total,85,94
LfMale,,1604,Labour force participation - Male,85,94
LfFemale,,1605,Labour force participation - Female,85,94
cpifood,,1606,Consumer price index: Food,34,98
cpigeneral,,1607,Consumer price index: General,34,98
assist_%GN,,1608,Net official development assistance to developing countries and multilateral organizations (as % of GNI),22,103
assist_$,,1609,Net official development assistance to developing countries and multilateral organizations (millions of US$),22,103
MS:Total,,1610,International migrant stock: Both sexes (number),89,78
totrefugee,,1613,Total refugees and people in refugee-like situations (number),90,78
ims%tot,,1614,International migrant stock: Both sexes (% total population),89,78
ims%male,,1615,International migrant stock: Male (% total Population),89,78
ims%fem,,1616,International migrant stock: Female (% total Population),89,78
asylsk,,1617,"Asylum seekers, including pending cases (number)",90,78
other,,1618,Other of concern to UNHCR (number),90,78
