topicId,topicNameEN,topicNameFR,tableCode,tableId,tableName,tableNote,tableStatusId,tbBkCode,tbBkPrint,seriesCode,countryAttributeId,seriesId,seriesName,sourceId,type,parentRegionId,parentRegion_DescEN,refAreaId,refAreaName,dataId,value,year,sourceCode,sourceNameEN,sourceNameFR
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316361,397580.0,1985,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316362,413260.0,1986,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316363,422572.0,1987,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316364,395812.0,1988,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316365,423239.0,1989,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316366,406582.0,1990,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316367,300619.0,1991,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316368,373526.0,1992,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316369,386051.0,1993,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
14,Science and technology,Science et technologie,patents,67,Patents,,2,T28 ,Y,pat_grts,,318,Grants of patents (number),44,Region,,,1,World,20316370,405355.0,1994,WIPO,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.","Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018."
